path,label
flowers\carnation\carnation_405.jpg,carnation
flowers\magnolia\magnolia_528.jpg,magnolia
flowers\carnation\carnation_401.jpg,carnation
flowers\lavender\lavender_240.jpeg,lavender
flowers\water_lily\water_lily_919.jpg,water_lily
flowers\lavender\lavender_309.jpeg,lavender
flowers\california_poppy\california_poppy_265.jpg,california_poppy
flowers\tulip\tulip_222.jpg,tulip
flowers\carnation\carnation_83.jpg,carnation
flowers\orchid\orchid_395.jpg,orchid
flowers\lotus\lotus_443.jpg,lotus
flowers\iris\iris_1031.jpg,iris
flowers\daffodil\daffodil_688.jpg,daffodil
flowers\common_daisy\daisy_887.jpg,common_daisy
flowers\black_eyed_susan\black_eyed_susan_74.jpg,black_eyed_susan
flowers\bellflower\bellflower_393.jpg,bellflower
flowers\common_daisy\daisy_131.jpg,common_daisy
flowers\rose\rose_329.jpg,rose
flowers\lotus\lotus_496.jpg,lotus
flowers\magnolia\magnolia_371.jpg,magnolia
flowers\calendula\calendula_509.jpg,calendula
flowers\water_lily\water_lily_457.jpg,water_lily
flowers\common_daisy\daisy_111.jpg,common_daisy
flowers\daffodil\daffodil_884.jpg,daffodil
flowers\tulip\tulip_933.jpg,tulip
flowers\water_lily\water_lily_166.jpg,water_lily
flowers\orchid\orchid_117.jpg,orchid
flowers\orchid\orchid_80.jpg,orchid
flowers\rose\rose_145.jpg,rose
flowers\dandelion\dandelion_374.jpg,dandelion
flowers\sunflower\sunflower_306.jpg,sunflower
flowers\dandelion\dandelion_130.jpg,dandelion
flowers\tulip\tulip_932.jpg,tulip
flowers\sunflower\sunflower_437.jpg,sunflower
flowers\water_lily\water_lily_787.jpg,water_lily
flowers\coreopsis\coreopsis_98.jpg,coreopsis
flowers\carnation\carnation_835.jpg,carnation
flowers\lavender\lavender_388.jpeg,lavender
flowers\lavender\lavender_222.jpeg,lavender
flowers\california_poppy\california_poppy_41.jpg,california_poppy
flowers\black_eyed_susan\black_eyed_susan_149.jpg,black_eyed_susan
flowers\tulip\tulip_922.jpg,tulip
flowers\water_lily\water_lily_535.jpg,water_lily
flowers\orchid\orchid_62.jpg,orchid
flowers\calendula\calendula_273.jpg,calendula
flowers\lavender\lavender_366.jpeg,lavender
flowers\magnolia\magnolia_939.jpg,magnolia
flowers\tulip\tulip_587.jpg,tulip
flowers\daffodil\daffodil_304.jpg,daffodil
flowers\iris\iris_796.jpg,iris
flowers\black_eyed_susan\black_eyed_susan_496.jpg,black_eyed_susan
flowers\magnolia\magnolia_261.jpg,magnolia
flowers\lavender\lavender_353.jpeg,lavender
flowers\water_lily\water_lily_902.jpg,water_lily
flowers\dandelion\dandelion_404.jpg,dandelion
flowers\carnation\carnation_460.jpg,carnation
flowers\carnation\carnation_266.jpg,carnation
flowers\daffodil\daffodil_3.jpg,daffodil
flowers\carnation\carnation_99.jpg,carnation
flowers\iris\iris_1042.jpg,iris
flowers\california_poppy\california_poppy_348.jpg,california_poppy
flowers\magnolia\magnolia_210.jpg,magnolia
flowers\lotus\lotus_129.jpg,lotus
flowers\rose\rose_795.jpg,rose
flowers\astilbe\astilbe_70.jpg,astilbe
flowers\orchid\orchid_82.jpg,orchid
flowers\dandelion\dandelion_189.jpg,dandelion
flowers\lavender\lavender_406.jpeg,lavender
flowers\orchid\orchid_192.jpg,orchid
flowers\water_lily\water_lily_824.jpg,water_lily
flowers\common_daisy\daisy_516.jpg,common_daisy
flowers\iris\iris_211.jpg,iris
flowers\orchid\orchid_389.jpg,orchid
flowers\lavender\lavender_246.jpeg,lavender
flowers\coreopsis\coreopsis_940.jpg,coreopsis
flowers\astilbe\astilbe_86.jpg,astilbe
flowers\orchid\orchid_133.jpg,orchid
flowers\bellflower\bellflower_251.jpg,bellflower
flowers\tulip\tulip_309.jpg,tulip
flowers\common_daisy\daisy_94.jpg,common_daisy
flowers\orchid\orchid_322.jpg,orchid
flowers\orchid\orchid_433.jpg,orchid
flowers\water_lily\water_lily_827.jpg,water_lily
flowers\calendula\calendula_658.jpg,calendula
flowers\dandelion\dandelion_968.jpg,dandelion
flowers\water_lily\water_lily_889.jpg,water_lily
flowers\coreopsis\coreopsis_769.jpg,coreopsis
flowers\astilbe\astilbe_677.jpg,astilbe
flowers\rose\rose_989.jpg,rose
flowers\lavender\lavender_322.jpeg,lavender
flowers\common_daisy\daisy_186.jpg,common_daisy
flowers\water_lily\water_lily_212.jpg,water_lily
flowers\iris\iris_67.jpg,iris
flowers\iris\iris_1023.jpg,iris
flowers\orchid\orchid_211.jpg,orchid
flowers\rose\rose_147.jpg,rose
flowers\black_eyed_susan\black_eyed_susan_200.jpg,black_eyed_susan
flowers\lotus\lotus_392.jpg,lotus
flowers\water_lily\water_lily_615.jpg,water_lily
flowers\daffodil\daffodil_787.jpg,daffodil
flowers\common_daisy\daisy_263.jpg,common_daisy
flowers\daffodil\daffodil_344.jpg,daffodil
flowers\iris\iris_914.jpg,iris
flowers\tulip\tulip_594.jpg,tulip
flowers\common_daisy\daisy_45.jpg,common_daisy
flowers\daffodil\daffodil_109.jpg,daffodil
flowers\dandelion\dandelion_225.jpg,dandelion
flowers\common_daisy\daisy_732.jpg,common_daisy
flowers\dandelion\dandelion_640.jpg,dandelion
flowers\lavender\lavender_380.jpeg,lavender
flowers\orchid\orchid_477.jpg,orchid
flowers\carnation\carnation_629.jpg,carnation
flowers\magnolia\magnolia_226.jpg,magnolia
flowers\rose\rose_447.jpg,rose
flowers\daffodil\daffodil_68.jpg,daffodil
flowers\water_lily\water_lily_511.jpg,water_lily
flowers\magnolia\magnolia_987.jpg,magnolia
flowers\astilbe\astilbe_567.jpg,astilbe
flowers\carnation\carnation_128.jpg,carnation
flowers\dandelion\dandelion_647.jpg,dandelion
flowers\common_daisy\daisy_557.jpg,common_daisy
flowers\lavender\lavender_160.jpeg,lavender
flowers\orchid\orchid_391.jpg,orchid
flowers\astilbe\astilbe_279.jpg,astilbe
flowers\magnolia\magnolia_600.jpg,magnolia
flowers\water_lily\water_lily_618.jpg,water_lily
flowers\tulip\tulip_770.jpg,tulip
flowers\carnation\carnation_657.jpg,carnation
flowers\black_eyed_susan\black_eyed_susan_780.jpg,black_eyed_susan
flowers\daffodil\daffodil_115.jpg,daffodil
flowers\coreopsis\coreopsis_478.jpg,coreopsis
flowers\dandelion\dandelion_617.jpg,dandelion
flowers\common_daisy\daisy_134.jpg,common_daisy
flowers\astilbe\astilbe_683.jpg,astilbe
flowers\rose\rose_907.jpg,rose
flowers\coreopsis\coreopsis_468.jpg,coreopsis
flowers\daffodil\daffodil_56.jpg,daffodil
flowers\sunflower\sunflower_7.jpg,sunflower
flowers\daffodil\daffodil_389.jpg,daffodil
flowers\tulip\tulip_439.jpg,tulip
flowers\magnolia\magnolia_165.jpg,magnolia
flowers\carnation\carnation_621.jpg,carnation
flowers\daffodil\daffodil_468.jpg,daffodil
flowers\tulip\tulip_644.jpg,tulip
flowers\magnolia\magnolia_841.jpg,magnolia
flowers\iris\iris_477.jpg,iris
flowers\lotus\lotus_205.jpg,lotus
flowers\astilbe\astilbe_180.jpg,astilbe
flowers\black_eyed_susan\black_eyed_susan_65.jpg,black_eyed_susan
flowers\common_daisy\daisy_660.jpg,common_daisy
flowers\rose\rose_60.jpg,rose
flowers\coreopsis\coreopsis_657.jpg,coreopsis
flowers\california_poppy\california_poppy_825.jpg,california_poppy
flowers\tulip\tulip_756.jpg,tulip
flowers\calendula\calendula_518.jpg,calendula
flowers\astilbe\astilbe_499.jpg,astilbe
flowers\coreopsis\coreopsis_666.jpg,coreopsis
flowers\coreopsis\coreopsis_33.jpg,coreopsis
flowers\carnation\carnation_541.jpg,carnation
flowers\lotus\lotus_201.jpg,lotus
flowers\water_lily\water_lily_61.jpg,water_lily
flowers\california_poppy\california_poppy_753.jpg,california_poppy
flowers\lotus\lotus_410.jpg,lotus
flowers\iris\iris_98.jpg,iris
flowers\common_daisy\daisy_587.jpg,common_daisy
flowers\dandelion\dandelion_676.jpg,dandelion
flowers\tulip\tulip_724.jpg,tulip
flowers\astilbe\astilbe_624.jpg,astilbe
flowers\lotus\lotus_169.jpg,lotus
flowers\carnation\carnation_445.jpg,carnation
flowers\sunflower\sunflower_257.jpg,sunflower
flowers\bellflower\bellflower_681.jpg,bellflower
flowers\lavender\lavender_250.jpeg,lavender
flowers\sunflower\sunflower_241.jpg,sunflower
flowers\carnation\carnation_557.jpg,carnation
flowers\daffodil\daffodil_732.jpg,daffodil
flowers\calendula\calendula_539.jpg,calendula
flowers\common_daisy\daisy_96.jpg,common_daisy
flowers\dandelion\dandelion_57.jpg,dandelion
flowers\lotus\lotus_264.jpg,lotus
flowers\iris\iris_97.jpg,iris
flowers\sunflower\sunflower_901.jpg,sunflower
flowers\water_lily\water_lily_653.jpg,water_lily
flowers\bellflower\bellflower_208.jpg,bellflower
flowers\black_eyed_susan\black_eyed_susan_674.jpg,black_eyed_susan
flowers\california_poppy\california_poppy_76.jpg,california_poppy
flowers\magnolia\magnolia_821.jpg,magnolia
flowers\lotus\lotus_435.jpg,lotus
flowers\coreopsis\coreopsis_153.jpg,coreopsis
flowers\lotus\lotus_230.jpg,lotus
flowers\iris\iris_355.jpg,iris
flowers\lotus\lotus_221.jpg,lotus
flowers\calendula\calendula_292.jpg,calendula
flowers\coreopsis\coreopsis_663.jpg,coreopsis
flowers\carnation\carnation_473.jpg,carnation
flowers\common_daisy\daisy_521.jpg,common_daisy
flowers\black_eyed_susan\black_eyed_susan_26.jpg,black_eyed_susan
flowers\iris\iris_612.jpg,iris
flowers\sunflower\sunflower_828.jpg,sunflower
flowers\sunflower\sunflower_499.jpg,sunflower
flowers\astilbe\astilbe_699.jpg,astilbe
flowers\dandelion\dandelion_273.jpg,dandelion
flowers\sunflower\sunflower_733.jpg,sunflower
flowers\california_poppy\california_poppy_969.jpg,california_poppy
flowers\lavender\lavender_31.jpg,lavender
flowers\carnation\carnation_65.jpg,carnation
flowers\iris\iris_745.jpg,iris
flowers\water_lily\water_lily_771.jpg,water_lily
flowers\orchid\orchid_228.jpg,orchid
flowers\black_eyed_susan\black_eyed_susan_495.jpg,black_eyed_susan
flowers\daffodil\daffodil_665.jpg,daffodil
flowers\dandelion\dandelion_138.jpg,dandelion
flowers\lavender\lavender_85.jpg,lavender
flowers\daffodil\daffodil_568.jpg,daffodil
flowers\calendula\calendula_76.jpg,calendula
flowers\common_daisy\daisy_97.jpg,common_daisy
flowers\rose\rose_938.jpg,rose
flowers\tulip\tulip_286.jpg,tulip
flowers\astilbe\astilbe_69.jpg,astilbe
flowers\carnation\carnation_863.jpg,carnation
flowers\bellflower\bellflower_731.jpg,bellflower
flowers\iris\iris_259.jpg,iris
flowers\calendula\calendula_183.jpg,calendula
flowers\black_eyed_susan\black_eyed_susan_183.jpg,black_eyed_susan
flowers\coreopsis\coreopsis_339.jpg,coreopsis
flowers\calendula\calendula_745.jpg,calendula
flowers\lotus\lotus_360.jpg,lotus
flowers\bellflower\bellflower_639.jpg,bellflower
flowers\iris\iris_799.jpg,iris
flowers\daffodil\daffodil_696.jpg,daffodil
flowers\daffodil\daffodil_686.jpg,daffodil
flowers\magnolia\magnolia_617.jpg,magnolia
flowers\water_lily\water_lily_698.jpg,water_lily
flowers\calendula\calendula_229.jpg,calendula
flowers\dandelion\dandelion_714.jpg,dandelion
flowers\sunflower\sunflower_320.jpg,sunflower
flowers\astilbe\astilbe_581.jpg,astilbe
flowers\lotus\lotus_468.jpg,lotus
flowers\common_daisy\daisy_832.jpg,common_daisy
flowers\rose\rose_441.jpg,rose
flowers\orchid\orchid_252.jpg,orchid
flowers\daffodil\daffodil_660.jpg,daffodil
flowers\water_lily\water_lily_288.jpg,water_lily
flowers\black_eyed_susan\black_eyed_susan_381.jpg,black_eyed_susan
flowers\carnation\carnation_570.jpg,carnation
flowers\black_eyed_susan\black_eyed_susan_249.jpg,black_eyed_susan
flowers\calendula\calendula_264.jpg,calendula
flowers\common_daisy\daisy_684.jpg,common_daisy
flowers\iris\iris_930.jpg,iris
flowers\dandelion\dandelion_95.jpg,dandelion
flowers\california_poppy\california_poppy_572.jpg,california_poppy
flowers\magnolia\magnolia_29.jpg,magnolia
flowers\lotus\lotus_240.jpg,lotus
flowers\tulip\tulip_898.jpg,tulip
flowers\astilbe\astilbe_149.jpg,astilbe
flowers\black_eyed_susan\black_eyed_susan_7.jpg,black_eyed_susan
flowers\iris\iris_268.jpg,iris
flowers\lavender\lavender_75.jpg,lavender
flowers\calendula\calendula_891.jpg,calendula
flowers\lavender\lavender_270.jpeg,lavender
flowers\lotus\lotus_288.jpg,lotus
flowers\coreopsis\coreopsis_220.jpg,coreopsis
flowers\astilbe\astilbe_53.jpg,astilbe
flowers\tulip\tulip_623.jpg,tulip
flowers\dandelion\dandelion_317.jpg,dandelion
flowers\california_poppy\california_poppy_830.jpg,california_poppy
flowers\carnation\carnation_771.jpg,carnation
flowers\lotus\lotus_58.jpg,lotus
flowers\calendula\calendula_74.jpg,calendula
flowers\water_lily\water_lily_819.jpg,water_lily
flowers\common_daisy\daisy_83.jpg,common_daisy
flowers\iris\iris_160.jpg,iris
flowers\california_poppy\california_poppy_642.jpg,california_poppy
flowers\coreopsis\coreopsis_644.jpg,coreopsis
flowers\california_poppy\california_poppy_942.jpg,california_poppy
flowers\bellflower\bellflower_45.jpg,bellflower
flowers\rose\rose_196.jpg,rose
flowers\calendula\calendula_972.jpg,calendula
flowers\water_lily\water_lily_260.jpg,water_lily
flowers\black_eyed_susan\black_eyed_susan_570.jpg,black_eyed_susan
flowers\black_eyed_susan\black_eyed_susan_186.jpg,black_eyed_susan
flowers\lotus\lotus_64.jpg,lotus
flowers\common_daisy\daisy_1.jpg,common_daisy
flowers\carnation\carnation_476.jpg,carnation
flowers\tulip\tulip_41.jpg,tulip
flowers\carnation\carnation_806.jpg,carnation
flowers\sunflower\sunflower_769.jpg,sunflower
flowers\daffodil\daffodil_546.jpg,daffodil
flowers\tulip\tulip_853.jpg,tulip
flowers\water_lily\water_lily_500.jpg,water_lily
flowers\coreopsis\coreopsis_868.jpg,coreopsis
flowers\california_poppy\california_poppy_715.jpg,california_poppy
flowers\sunflower\sunflower_514.jpg,sunflower
flowers\rose\rose_283.jpg,rose
flowers\california_poppy\california_poppy_129.jpg,california_poppy
flowers\dandelion\dandelion_331.jpg,dandelion
flowers\california_poppy\california_poppy_1005.jpg,california_poppy
flowers\magnolia\magnolia_200.jpg,magnolia
flowers\black_eyed_susan\black_eyed_susan_859.jpg,black_eyed_susan
flowers\magnolia\magnolia_353.jpg,magnolia
flowers\coreopsis\coreopsis_607.jpg,coreopsis
flowers\astilbe\astilbe_174.jpg,astilbe
flowers\calendula\calendula_415.jpg,calendula
flowers\sunflower\sunflower_771.jpg,sunflower
flowers\bellflower\bellflower_409.jpg,bellflower
flowers\bellflower\bellflower_244.jpg,bellflower
flowers\daffodil\daffodil_8.jpg,daffodil
flowers\water_lily\water_lily_971.jpg,water_lily
flowers\dandelion\dandelion_718.jpg,dandelion
flowers\rose\rose_149.jpg,rose
flowers\astilbe\astilbe_358.jpg,astilbe
flowers\daffodil\daffodil_179.jpg,daffodil
flowers\lavender\lavender_404.jpeg,lavender
flowers\astilbe\astilbe_705.jpg,astilbe
flowers\coreopsis\coreopsis_827.jpg,coreopsis
flowers\iris\iris_709.jpg,iris
flowers\astilbe\astilbe_51.jpg,astilbe
flowers\sunflower\sunflower_171.jpg,sunflower
flowers\california_poppy\california_poppy_183.jpg,california_poppy
flowers\bellflower\bellflower_561.jpg,bellflower
flowers\calendula\calendula_274.jpg,calendula
flowers\carnation\carnation_876.jpg,carnation
flowers\black_eyed_susan\black_eyed_susan_192.jpg,black_eyed_susan
flowers\dandelion\dandelion_1000.jpg,dandelion
flowers\sunflower\sunflower_686.jpg,sunflower
flowers\bellflower\bellflower_268.jpg,bellflower
flowers\water_lily\water_lily_322.jpg,water_lily
flowers\bellflower\bellflower_495.jpg,bellflower
flowers\carnation\carnation_569.jpg,carnation
flowers\astilbe\astilbe_62.jpg,astilbe
flowers\dandelion\dandelion_618.jpg,dandelion
flowers\orchid\orchid_45.jpg,orchid
flowers\dandelion\dandelion_36.jpg,dandelion
flowers\magnolia\magnolia_950.jpg,magnolia
flowers\sunflower\sunflower_291.jpg,sunflower
flowers\magnolia\magnolia_20.jpg,magnolia
flowers\iris\iris_416.jpg,iris
flowers\magnolia\magnolia_700.jpg,magnolia
flowers\rose\rose_269.jpg,rose
flowers\lotus\lotus_218.jpg,lotus
flowers\water_lily\water_lily_194.jpg,water_lily
flowers\dandelion\dandelion_591.jpg,dandelion
flowers\bellflower\bellflower_342.jpg,bellflower
flowers\california_poppy\california_poppy_900.jpg,california_poppy
flowers\lotus\lotus_242.jpg,lotus
flowers\dandelion\dandelion_680.jpg,dandelion
flowers\common_daisy\daisy_207.jpg,common_daisy
flowers\california_poppy\california_poppy_443.jpg,california_poppy
flowers\iris\iris_486.jpg,iris
flowers\orchid\orchid_168.jpg,orchid
flowers\calendula\calendula_744.jpg,calendula
flowers\astilbe\astilbe_393.jpg,astilbe
flowers\dandelion\dandelion_457.jpg,dandelion
flowers\tulip\tulip_1046.jpg,tulip
flowers\iris\iris_265.jpg,iris
flowers\black_eyed_susan\black_eyed_susan_76.jpg,black_eyed_susan
flowers\carnation\carnation_654.jpg,carnation
flowers\iris\iris_1039.jpg,iris
flowers\lotus\lotus_241.jpg,lotus
flowers\daffodil\daffodil_947.jpg,daffodil
flowers\rose\rose_826.jpg,rose
flowers\calendula\calendula_431.jpg,calendula
flowers\common_daisy\daisy_417.jpg,common_daisy
flowers\water_lily\water_lily_882.jpg,water_lily
flowers\black_eyed_susan\black_eyed_susan_44.jpg,black_eyed_susan
flowers\orchid\orchid_429.jpg,orchid
flowers\black_eyed_susan\black_eyed_susan_594.jpg,black_eyed_susan
flowers\rose\rose_303.jpg,rose
flowers\orchid\orchid_467.jpg,orchid
flowers\sunflower\sunflower_697.jpg,sunflower
flowers\astilbe\astilbe_283.jpg,astilbe
flowers\dandelion\dandelion_363.jpg,dandelion
flowers\astilbe\astilbe_588.jpg,astilbe
flowers\common_daisy\daisy_850.jpg,common_daisy
flowers\orchid\orchid_178.jpg,orchid
flowers\coreopsis\coreopsis_283.jpg,coreopsis
flowers\daffodil\daffodil_781.jpg,daffodil
flowers\tulip\tulip_651.jpg,tulip
flowers\iris\iris_8.jpg,iris
flowers\dandelion\dandelion_1024.jpg,dandelion
flowers\carnation\carnation_241.jpg,carnation
flowers\daffodil\daffodil_234.jpg,daffodil
flowers\dandelion\dandelion_274.jpg,dandelion
flowers\tulip\tulip_337.jpg,tulip
flowers\sunflower\sunflower_803.jpg,sunflower
flowers\black_eyed_susan\black_eyed_susan_352.jpg,black_eyed_susan
flowers\water_lily\water_lily_515.jpg,water_lily
flowers\iris\iris_590.jpg,iris
flowers\lavender\lavender_281.jpeg,lavender
flowers\daffodil\daffodil_924.jpg,daffodil
flowers\bellflower\bellflower_27.jpg,bellflower
flowers\sunflower\sunflower_135.jpg,sunflower
flowers\lavender\lavender_62.jpg,lavender
flowers\lotus\lotus_23.jpg,lotus
flowers\iris\iris_52.jpg,iris
flowers\magnolia\magnolia_961.jpg,magnolia
flowers\common_daisy\daisy_153.jpg,common_daisy
flowers\bellflower\bellflower_30.jpg,bellflower
flowers\rose\rose_451.jpg,rose
flowers\water_lily\water_lily_633.jpg,water_lily
flowers\rose\rose_645.jpg,rose
flowers\calendula\calendula_435.jpg,calendula
flowers\coreopsis\coreopsis_913.jpg,coreopsis
flowers\calendula\calendula_225.jpg,calendula
flowers\astilbe\astilbe_433.jpg,astilbe
flowers\lavender\lavender_439.jpeg,lavender
flowers\rose\rose_397.jpg,rose
flowers\astilbe\astilbe_368.jpg,astilbe
flowers\lavender\lavender_243.jpeg,lavender
flowers\sunflower\sunflower_682.jpg,sunflower
flowers\astilbe\astilbe_533.jpg,astilbe
flowers\carnation\carnation_568.jpg,carnation
flowers\carnation\carnation_36.jpg,carnation
flowers\bellflower\bellflower_478.jpg,bellflower
flowers\california_poppy\california_poppy_802.jpg,california_poppy
flowers\rose\rose_817.jpg,rose
flowers\calendula\calendula_383.jpg,calendula
flowers\rose\rose_741.jpg,rose
flowers\dandelion\dandelion_767.jpg,dandelion
flowers\carnation\carnation_721.jpg,carnation
flowers\tulip\tulip_424.jpg,tulip
flowers\astilbe\astilbe_332.jpg,astilbe
flowers\coreopsis\coreopsis_1020.jpg,coreopsis
flowers\dandelion\dandelion_338.jpg,dandelion
flowers\magnolia\magnolia_455.jpg,magnolia
flowers\bellflower\bellflower_723.jpg,bellflower
flowers\carnation\carnation_231.jpg,carnation
flowers\california_poppy\california_poppy_613.jpg,california_poppy
flowers\sunflower\sunflower_938.jpg,sunflower
flowers\black_eyed_susan\black_eyed_susan_17.jpg,black_eyed_susan
flowers\common_daisy\daisy_144.jpg,common_daisy
flowers\lavender\lavender_294.jpeg,lavender
flowers\orchid\orchid_90.jpg,orchid
flowers\rose\rose_533.jpg,rose
flowers\magnolia\magnolia_813.jpg,magnolia
flowers\lavender\lavender_470.jpeg,lavender
flowers\calendula\calendula_306.jpg,calendula
flowers\calendula\calendula_927.jpg,calendula
flowers\iris\iris_258.jpg,iris
flowers\iris\iris_547.jpg,iris
flowers\carnation\carnation_135.jpg,carnation
flowers\rose\rose_341.jpg,rose
flowers\common_daisy\daisy_271.jpg,common_daisy
flowers\daffodil\daffodil_701.jpg,daffodil
flowers\orchid\orchid_108.jpg,orchid
flowers\daffodil\daffodil_844.jpg,daffodil
flowers\astilbe\astilbe_76.jpg,astilbe
flowers\bellflower\bellflower_783.jpg,bellflower
flowers\rose\rose_486.jpg,rose
flowers\water_lily\water_lily_365.jpg,water_lily
flowers\dandelion\dandelion_55.jpg,dandelion
flowers\astilbe\astilbe_148.jpg,astilbe
flowers\water_lily\water_lily_13.jpg,water_lily
flowers\orchid\orchid_227.jpg,orchid
flowers\sunflower\sunflower_1002.jpg,sunflower
flowers\rose\rose_775.jpg,rose
flowers\coreopsis\coreopsis_902.jpg,coreopsis
flowers\carnation\carnation_215.jpg,carnation
flowers\common_daisy\daisy_506.jpg,common_daisy
flowers\lotus\lotus_77.jpg,lotus
flowers\daffodil\daffodil_399.jpg,daffodil
flowers\calendula\calendula_775.jpg,calendula
flowers\iris\iris_227.jpg,iris
flowers\iris\iris_848.jpg,iris
flowers\daffodil\daffodil_461.jpg,daffodil
flowers\common_daisy\daisy_288.jpg,common_daisy
flowers\magnolia\magnolia_948.jpg,magnolia
flowers\lavender\lavender_24.jpg,lavender
flowers\calendula\calendula_630.jpg,calendula
flowers\astilbe\astilbe_401.jpg,astilbe
flowers\rose\rose_83.jpg,rose
flowers\carnation\carnation_660.jpg,carnation
flowers\california_poppy\california_poppy_465.jpg,california_poppy
flowers\california_poppy\california_poppy_335.jpg,california_poppy
flowers\sunflower\sunflower_373.jpg,sunflower
